Diet	High	Low	High	Low	High	Low	High	Low	High	Low	High	Low
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus sp. CBA1112	91	30	34	24	64	39	89	31	106	23	49	24
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus sp. CBA1113	4	2	5	36	3	1	3	6	2	4	4	10
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloprofundus	19	28	18	35	23	47	14	41	17	24	25	15
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloprofundus|s__Haloprofundus sp. MHR1	19	28	18	35	23	47	14	41	17	24	25	15
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloquadratum	10	86	9	39	30	8	67	15	26	90	57	86
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloquadratum|s__Haloquadratum walsbyi	10	86	9	39	30	8	67	15	26	90	57	86
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae	574	200	568	951	355	410	247	416	441	151	273	168
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halohasta	17	27	9	47	16	9	12	11	13	23	19	17
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halohasta|s__Halohasta litchfieldiae	17	27	9	47	16	9	12	11	13	23	19	17
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halopenitus	130	33	80	210	76	78	54	83	97	19	40	20
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halopenitus|s__Halopenitus persicus	130	33	80	210	76	78	54	83	97	19	40	20
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum	403	108	463	548	243	264	159	271	311	73	190	98
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum ezzemoulense	15	21	32	82	26	42	29	56	27	10	29	17
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum lacusprofundi	348	30	367	221	158	116	70	79	230	22	90	23
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum sp. BOL3-1	13	16	19	45	14	43	19	89	13	10	27	18
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum sp. PV6	9	20	18	31	23	34	12	10	19	15	17	21
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum trapanicum	9	19	14	143	15	20	22	27	10	13	15	15
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Salinigranum	24	31	14	145	20	58	22	50	19	35	24	33
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Salinigranum|s__Salinigranum rubrum	24	31	14	145	20	58	22	50	19	35	24	33
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|g__Halalkaliarchaeum	29	33	45	128	35	45	29	58	42	14	31	23
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|g__Halalkaliarchaeum|s__Halalkaliarchaeum desulfuricum	29	33	45	128	35	45	29	58	42	14	31	23
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|s__halophilic archaeon DL31	20	32	19	85	26	14	15	33	20	30	20	26
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales	2425	665	2816	2346	2434	1565	1050	1369	2382	459	1336	575
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae	2425	665	2816	2346	2434	1565	1050	1369	2382	459	1336	575
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halobiforma	372	40	407	212	192	129	88	101	223	20	90	32
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halobiforma|s__Halobiforma lacisalsi	372	40	407	212	192	129	88	101	223	20	90	32
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halopiger	338	50	427	260	179	172	67	133	225	17	122	39
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halopiger|s__Halopiger xanaduensis	338	50	427	260	179	172	67	133	225	17	122	39
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halostagnicola	10	18	12	33	33	8	11	16	8	22	32	19
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halostagnicola|s__Halostagnicola larsenii	10	18	12	33	33	8	11	16	8	22	32	19
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Haloterrigena	373	130	365	274	362	161	175	176	339	95	198	101
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Haloterrigena|s__Haloterrigena daqingensis	16	23	13	49	189	52	56	56	161	15	74	27
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Haloterrigena|s__Haloterrigena turkmenica	357	107	352	225	173	109	119	120	178	80	124	74
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halovivax	43	21	23	22	112	23	34	18	43	15	51	19
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Halovivax|s__Halovivax ruber	43	21	23	22	112	23	34	18	43	15	51	19
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialba	13	80	26	69	34	26	35	38	27	63	61	66
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrialba|s__Natrialba magadii	13	80	26	69	34	26	35	38	27	63	61	66
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrinema	383	140	471	612	249	413	164	271	297	95	169	96
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrinema|s__Natrinema pallidum	6	19	7	27	12	46	7	93	6	11	19	14
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrinema|s__Natrinema pellirubrum	12	30	9	23	14	13	22	17	12	19	19	29
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrinema|s__Natrinema sp. J7-2	303	27	373	342	165	137	63	92	211	24	76	20
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natrinema|s__Natrinema versiforme	57	59	79	206	55	205	68	62	65	36	52	31
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronobacterium	42	16	31	40	188	14	36	24	78	12	47	16
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronobacterium|s__Natronobacterium gregoryi	42	16	31	40	188	14	36	24	78	12	47	16
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronococcus	14	18	14	115	173	48	60	71	128	15	87	26
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronococcus|s__Natronococcus occultus	14	18	14	115	173	48	60	71	128	15	87	26
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronolimnobius	632	76	768	448	586	348	242	263	690	36	306	71
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronolimnobius|s__Natronolimnobius aegyptiacus	267	28	334	192	144	102	61	84	170	22	61	31
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronolimnobius|s__Natronolimnobius sulfurireducens	363	48	434	255	442	246	180	179	520	14	244	40
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronorubrum	30	30	30	70	46	83	31	129	34	36	27	27
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronorubrum|s__Natronorubrum aibiense	17	20	19	49	21	62	15	103	20	24	18	14
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Natronorubrum|s__Natronorubrum bangense	13	10	10	19	23	18	16	26	14	12	9	11
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Salinarchaeum	21	25	24	53	200	62	60	79	181	11	89	37
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales|f__Natrialbaceae|g__Salinarchaeum|s__Salinarchaeum sp. Harcht-Bsk1	21	25	24	53	200	62	60	79	181	11	89	37
d__Archaea|p__Euryarchaeota|c__Methanobacteria	1221	2061	587	1646	2004	974	1825	1128	1490	1774	1822	1509
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	1221	2061	587	1646	2004	974	1825	1128	1490	1774	1822	1509
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	1211	1996	583	1585	1981	958	1792	1105	1478	1724	1783	1467
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium	126	759	102	298	544	148	549	252	298	642	558	576
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium congolense	7	94	7	46	34	38	58	23	28	82	39	73
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium formicicum	14	84	21	31	48	11	62	19	22	77	76	46
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium lacus	25	142	25	77	46	37	89	37	60	125	95	106
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium paludis	7	102	10	44	51	22	60	65	27	76	77	68
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium sp. MB1	39	216	23	18	150	10	143	50	62	162	156	161
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium sp. MZ-A1	28	13	12	10	159	1	43	9	57	15	52	3
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium subterraneum	2	30	3	37	14	22	22	29	13	22	16	50
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	1024	872	438	927	1235	639	955	641	1060	774	965	577
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter millerae	12	137	7	92	79	40	94	52	33	115	90	83
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter olleyae	480	144	187	234	297	304	314	216	525	136	268	96
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter ruminantium	444	167	199	279	508	181	198	183	364	127	233	113
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter smithii	63	185	21	200	222	63	159	123	87	168	201	128
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter sp. AbM4	11	108	8	80	37	22	94	38	22	96	76	82
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter sp. YE315	13	128	16	41	90	29	94	29	29	128	95	71
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	42	257	27	242	136	117	194	143	73	228	171	224
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera sp. BMS	17	157	18	64	68	14	97	42	48	128	105	125
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera stadtmanae	25	100	9	178	68	103	97	101	25	100	66	99
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanothermobacter	19	108	16	118	66	54	94	69	47	80	89	90
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanothermobacter|s__Methanothermobacter marburgensis	2	12	2	7	13	3	15	4	6	13	6	6
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanothermobacter|s__Methanothermobacter sp. CaT2	2	21	0	2	8	5	17	5	10	7	13	17
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanothermobacter|s__Methanothermobacter sp. KEPCO-1	0	10	0	14	5	2	14	6	2	5	14	3
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanothermobacter|s__Methanothermobacter thermautotrophicus	6	17	2	28	15	14	15	10	11	9	8	11
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanothermobacter|s__Methanothermobacter wolfeii	5	31	8	33	14	20	19	30	7	31	25	29
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae	10	65	4	61	23	16	33	23	12	50	39	42
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus	10	65	4	61	23	16	33	23	12	50	39	42
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus|s__Methanothermus fervidus	10	65	4	61	23	16	33	23	12	50	39	42
d__Archaea|p__Euryarchaeota|c__Methanococci	510	1498	220	1172	1216	457	1310	555	804	1321	1319	1040
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	510	1498	220	1172	1216	457	1310	555	804	1321	1319	1040
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae	70	617	59	279	468	141	488	189	263	578	534	430
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus	65	516	48	230	427	121	435	155	251	505	461	364
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus bathoardescens	11	91	7	33	177	43	105	43	127	90	135	66
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus fervens	7	89	12	35	38	23	73	25	22	79	70	50
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus infernus	5	50	7	36	29	8	33	21	15	54	26	44
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus jannaschii	17	95	4	30	38	16	69	25	36	97	55	75
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus sp. FS406-22	9	117	12	44	53	15	70	18	20	100	91	66
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus vulcanius	7	58	4	45	49	12	66	16	18	72	66	51
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanotorris	5	93	11	49	41	20	52	33	12	72	71	65
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanotorris|s__Methanotorris igneus	5	93	11	49	41	20	52	33	12	72	71	65
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae	435	794	154	861	705	313	765	354	525	659	726	541
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus	422	708	147	800	652	283	676	316	499	578	659	493
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus|s__Methanococcus aeolicus	13	100	6	7	63	5	80	13	19	81	70	60
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus|s__Methanococcus maripaludis	375	455	124	687	498	251	481	262	444	381	491	344
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus|s__Methanococcus vannielii	11	75	3	20	40	3	60	12	14	61	48	35
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus|s__Methanococcus voltae	23	70	14	85	49	23	51	29	21	51	49	51
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanothermococcus	13	84	7	61	49	30	87	36	26	80	67	47
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanothermococcus|s__Methanothermococcus okinawensis	13	84	7	61	49	30	87	36	26	80	67	47
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|g__Methanofervidicoccus	5	86	7	32	42	3	56	12	16	83	56	67
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|g__Methanofervidicoccus|s__Methanofervidicoccus sp. A16	5	86	7	32	42	3	56	12	16	83	56	67
d__Archaea|p__Euryarchaeota|c__Methanomicrobia	2736	2977	2334	4440	3670	2095	3029	2305	3164	2623	3166	2322
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales	365	173	356	442	235	179	153	189	270	113	176	109
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae	365	173	356	442	235	179	153	189	270	113	176	109
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella	365	173	356	442	235	179	153	189	270	113	176	109
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella|s__Methanocella arvoryzae	34	22	36	87	36	17	24	46	39	20	35	20
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella|s__Methanocella conradii	313	41	289	226	142	140	68	68	203	26	94	33
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales|f__Methanocellaceae|g__Methanocella|s__Methanocella paludicola	18	105	31	129	57	22	59	72	28	66	47	54
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	1022	426	857	1723	1204	749	747	822	1380	401	818	492
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae	5	28	4	249	16	73	17	117	18	19	19	17
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum	5	28	4	249	16	73	17	117	18	19	19	17
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum labreanum	5	28	4	249	16	73	17	117	18	19	19	17
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae	437	212	532	964	740	386	363	423	688	196	444	241
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus	411	74	490	579	559	303	240	292	566	52	290	79
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus bourgensis	3	17	0	13	9	2	20	2	16	20	25	15
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus marisnigri	19	26	31	178	333	115	145	162	302	13	174	34
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoculleus|s__Methanoculleus sp. MAB1	4	6	2	48	4	22	7	8	1	5	4	3
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanofollis	10	15	17	165	25	29	25	38	19	14	16	15
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanofollis|s__Methanofollis liminatans	10	15	17	165	25	29	25	38	19	14	16	15
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanolacinia	5	48	8	111	95	38	49	59	89	38	73	48
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanolacinia|s__Methanolacinia petrolearia	5	48	8	111	95	38	49	59	89	38	73	48
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoplanus	11	75	17	109	61	16	49	34	14	92	65	99
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__Methanoplanus|s__Methanoplanus limicola	11	75	17	109	61	16	49	34	14	92	65	99
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae	570	104	310	428	415	265	315	247	647	120	298	155
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanolinea	12	19	13	44	41	22	22	30	36	28	36	16
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanolinea|s__Methanolinea tarda	12	19	13	44	41	22	22	30	36	28	36	16
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula	550	61	286	329	277	216	255	178	528	75	214	119
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Methanoregula boonei	23	22	17	78	35	35	32	35	37	27	38	26
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanoregula|s__Methanoregula formicica	527	39	269	251	242	181	222	143	491	48	176	93
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanosphaerula	8	24	11	50	96	25	38	39	83	16	48	20
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__Methanosphaerula|s__Methanosphaerula palustris	8	24	11	50	96	25	38	39	83	16	48	20
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae	9	79	11	81	33	25	51	32	27	65	56	78
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum	9	79	11	81	33	25	51	32	27	65	56	78
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum hungatei	9	79	11	81	33	25	51	32	27	65	56	78
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	1349	2378	1121	2271	2231	1167	2128	1293	1514	2109	2172	1720
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae	1289	2321	1061	2087	2065	1079	2037	1177	1412	2047	2082	1655
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanococcoides	7	139	9	70	35	14	113	46	38	123	113	99
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanococcoides|s__Methanococcoides burtonii	4	80	5	28	19	9	51	28	21	72	46	58
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanococcoides|s__Methanococcoides methylutens	3	57	4	42	15	5	60	18	17	48	65	40
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalobium	8	64	4	22	48	17	57	16	22	61	55	49
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalobium|s__Methanohalobium evestigatum	8	64	4	22	48	17	57	16	22	61	55	49
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalophilus	33	127	18	166	84	90	145	70	32	132	155	99
